Airline,Callsign,Name,Country code
FIA,FIA AIRLINES,FLY ONE,MDA
FIN,FIN AIR,Finnair,FIN
FJI,FIJI,Fiji Airways,FJI
FJM,GREEN HEART,Fly Jamaica Airways,JAM
FJW,ZIM BIRD,FastJet Zimbabwe,ZWE
FLA,PALM,Air Florida,USA
FLE,FLAIR,Flair Airlines,CAN
FLI,FAROELINE,Atlantic Airways,FRO
FLL,FEDERAL AIRLINES,Federal Airlines,SWE
FOO,AUSTROJET,Anisec Luftfahrt GmbH,AUT
FOX,GREENSTAR,Flyr AS,NOR
FPO,FRENCH POST,ASL Airlines France,FRA
FPY,PLAYER,PLAY,ISL
FRE,FREEDOM,Freedom Air,USA
FSC,HOTEL KILO,Yangon Airways,MMR
FTA,FRONTIER AIR,Frontier Flying Service,USA
FWI,FRENCH WEST,Air Caraibes Atlantique,GLP
FXI,FAXI,Air Iceland,ISL
GAI,GROMOV AIRLINE,Moskovia Airlines,BLR
GAO,GOLDEN,Golden Air,SWE
GAP,ORIENT PACIFIC,Air Philippines,PHL
GBB,GLOBAL AVIATION,Global Aviation Operations,ZAF
GBK,GABON AIRLINES,Gabon Airlines,GAB
GCC,BOHAI CARGO,TianJin Cargo Airlines,CHN
GCR,BOHAI,TianJin Airlines,CHN
GDC,GRAND CHINA,Grand China Air,CHN
GEC,LUFTHANSA CARGO,Lufthansa Cargo,DEU
GER,GERMAN EAGLE,German Airways,DEU
GFA,GULF AIR,Gulf Air,BHR
GFI,CARIB STAR,Caribbean Star Airlines,ATG
GGN,GEORGIAN,Air Georgian,CAN
GHB,GHANA AIRLINES,Ghana International Airlines,GHA
GIA,INDONESIA,Garuda Indonesia,IDN
GIP,FUTURE EXPRESS,Air Guinee Express,GNQ
GJS,LINDBERGH,GoJet Airlines,USA
GLA,LAKES AIR,Great Lakes Airlines,USA
GLG,AEROGAL,Aerolineas Galapagos (Aerogal),ECU
GLO,GOL TRANSPORTE,Gol Transportes Aereos,BRA
GLR,GLACIER,Central Mountain Air,CAN
GMG,GMG,GMG Airlines,BGD
GMI,GERMANIA,Germania Fluggefellschaft,DEU
GOW,GO FIRST,Go First,IOT
GRL,GREENLAND,Air Greenland,DNK
GTI,GIANT,Atlas Air,USA
GTV,GAVIOTA,Aerogaviota,CUB
GUG,AVIATECA,Aviateca S.A.,GTM
GUN,HOOT,Grant Aviation,USA
GWI,GERMAN WINGS,Germanwings,DEU
GZP,GAZPROMAVIA,Gazpromavia,BLR
HAG,HAGELAND,Hageland Aviation Services,USA
HAL,HAWAIIAN,Hawaiian Airlines,USA
HAR,HARBOR,Harbor Airlines,USA
HBH,HEBEI AIR,Hebei Airlines,CHN
HCV,CREOLE,Halcyonair,CPV
HDA,DRAGON,Dragonair,HKG
HER,HEX AIRLINE,Hex'Air,FRA
HES,HOLIDAY EUROPE,Holiday Europe,BGR
HFY,SKY FLYER,Hifly,PRT
HHI,HAMBURG JET,Hamburg International,DEU
HHN,ROOSTER,Hahn Air,DEU
HIM,HIMALAYA,Himalaya Airlines,NPL
HKC,MASCOT,Hong Kong Air Cargo,HKG
HKE,HONG KONG SHUTTLE,Hong Kong Shuttle,HKG
HLI,HELI SAINT TROPEZ,Heli Securite,FRA
HOP,AIR HOP,HOP!,FRA
HSE,HELISURESTE,Helicopteros Del Sureste,ESP
HSV,HIGHSWEDE,Svenska Direktflyg,SWE
HTA,SCANBIRD,Helitrans,NOR
HVN,VIET NAM AIRLINES,Vietnam Airlines,VNM
HXA,CHINA EXPRESS,China Express Airlines,CHN
HYT,QUICK AIR,YTO Cargo Airlines,CHN
IAC,INDAIR,Indian Airlines,IOT
IAW,IRAQI,Iraqi Airways,IRQ
IAX,ABBY AIR,Island Express Air,CAN
IBB,BINTER,Binter Canarias,ESP
IBE,IBERIA,Iberia Airlines,ESP
IBK,NORTRANS,Norwegian Air International,NOR
IBS,IBERIAEXPRES,Iberia Express,ESP
IBX,IBEX,Ibex Airlines,JPN
ICC,ICE AIR CARGO,Icelandair Cargo,ISL
ICD,ICARO,Icaro,ECU
ICE,ICE AIR,Icelandair,ISL
ICL,CAL,CAL Cargo Air Lines,ISR
ICV,CARGO LUXITALIA,Cargolux Italia,ITA
IDA,INTRA,Indonesia Air Transport,IDN
IDN,INDEPENDENT AIR,Independent Air,USA
IGO,IFLY,IndiGo Airlines,IOT
IKA,ITEK AIR,Itek Air,KGZ
IKY,GENERAL SKY,Intersky,BGR
ILN,INLINE,Interair,ZAF
IMP,IMPERIAL,Hellenic Imperial Airways,GRC
INC,INSELAIR,Insel Air International,CUW
IRA,IRAN AIR,Iran Air,IRN
IRB,IRAN AIR,Iran Air Tours,IRN
IRC,ASEMAN,Iran Aseman Airlines,IRN
IRK,KISHAIR,Kish Air,IRN
IRM,MAHAN AIR,Mahan Air,IRN
IRY,ILAM,Eram Airlines,IRN
ISA,ISLAND,Island Airlines,USA
ISG,CLUBAIR,Club Air,ITA
ISR,ISRAIR,Israir,ISR
ISS,MERIDIANA,Meridiana,ITA
ISV,ISLENA,Islena Airlines,HND
IYE,YEMENI,Yemenia Yemen Airways,YEM
JAF,BEAUTY,Jetairfly,BEL
JAI,JET AIRWAYS,Jet Airways,IOT
JAL,JAPAN AIR,Japan Airlines,JPN
JAS,JET SETTER,Jet Aviation Flight Services,CHE
JAV,JORDAN AVIATION,Jordan Aviation,JOR
JBA,HELIJET,Helijet,CAN
JBR,JOBAIR,Job Air,CZE
JBU,JET BLUE,JetBlue Airways,USA
JEA,JETA,Jet Air,POL
JET,GHIBLI,Wind Jet,ITA
JEX,JANEX,JAL Express,JPN
JFU,ARGAN,Jet4You,MAR
JIA,BLUE STREAK,PSA Airlines,USA
JJA,JEJU AIR,Jeju Air,KOR
JJP,ORANGE LINER,Jetstar Japan,JPN
JKK,SPANAIR,Spanair,ESP
JLJ,J AIR,J-Air,JPN
JLX,KEN JET,Jetlink Express,KEN
JNA,JIN AIR,Jin Air,JPN
JON,JOON,Joon,FRA
JOY,JOY AIR,Joy Air,CHN
JSA,JETSTAR ASIA,Jetstar Asia,SGP
JST,JETSTAR,Jetstar Airways,AUS
JSX,BIG STRIPE,JSX (JetSuiteX),USA
JTA,JAY OCEAN,Japan Transocean Air,JPN
JTE,JET EX,Cobham Aviation Service Australia,AUS
JTG,JET TIME,Jet Time,DNK
